doi	affiliations	countries	properties
10.1109/JSEN.2018.2870674	Chongqing Engineering Laboratory for Detection, Control and Integrated System, Chongqing Technology and Business University, Chongqing 400063, China.;Chongqing Engineering Laboratory for Detection, Control and Integrated System, Chongqing Technology and Business University, Chongqing 400063, China.	China	participatory design,top down
10.1109/ISAC.2010.5670451	The Graduate School of Information Science, Hosei University, 3-7-2 Kajino-cho, Koganei-shi, Tokyo 184-8584, Japan;Faculty of Computrer and Information Sciences, Hosei University, 3-7-2 Kajino-cho, Koganei-shi, Tokyo 184-8584, Japan;Faculty of Computrer and Information Sciences, Hosei University, 3-7-2 Kajino-cho, Koganei-shi, Tokyo 184-8584, Japan	Japan	body,top down,workflow
10.1109/ICDEW.2016.7495615	Social ICT Laboratory, Social ICT Research Center, National Institute of Information and Communications Technology (NICT), 4-2-1, Nukui-Kitamachi, Koganei, Tokyo 184-8795, Japan	Japan	body,participatory design,top down,wearables
10.1109/ISNE.2013.6512352	Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan;Department of Electrical Engineering, I-Shou University, Kaohsiung City, 84001 Taiwan	Taiwan	body,participatory design,top down
10.1109/IAEAC.2017.8054075	Computer Science and Information Management Program, Asian Institute of Technology, Thailand;Computer Science and Information Management Program, Asian Institute of Technology, Thailand	Thailand	prototype,top down
ieeexploreieeeorgstampstampjsparnumber5967567	Chung Hua University, 707, Sec.2, WuFu Rd., Hsinchu, Taiwan 30012, R.O.C.;Chung Hua University, 707, Sec.2, WuFu Rd., Hsinchu, Taiwan 30012, R.O.C.	Taiwan	furniture,involvement,stakeholders,top down
10.1109/TCE.2011.6131162	Kyung Hee University, South Korea;Kyung Hee University, South Korea	South Korea	body,top down
10.1109/ICCE-TW.2015.7216897	Dept. of Information Engineering and Computer Science, Feng Chia University, Taiwan, R.O.C.;Dept. of Information Engineering and Computer Science, Feng Chia University, Taiwan, R.O.C.;Dept. of Information Engineering and Computer Science, Feng Chia University, Taiwan, R.O.C.	Taiwan	body,top down,wearables
10.1109/JSYST.2011.2165593	School of Computer Science, Northwestern Polytechnical University, Shaanxi, China;School of Computer Science, Northwestern Polytechnical University, Shaanxi, China;School of Computer Science, Northwestern Polytechnical University, Shaanxi, China;School of Computer Science, Northwestern Polytechnical University, Shaanxi, China;Institute Telecom and Management SudParis, Paris, France;School of Computer Science, Northwestern Polytechnical University, Shaanxi, China	China;France	stakeholders,top down,context
10.1109/ICICIC.2009.352		Unknown	body,top down
